3,100000
0.087308,0.826447,0.3486
0.058982,0.119842,0.675699
0.332958,0.561679,0.598059
0.164943,0.158546,0.049637
0.757605,0.62839,0.450969
0.177125,0.360605,0.458366
0.869579,0.982383,0.252731
0.714909,0.771756,0.179294
0.564019,0.13518,0.17552
0.525704,0.834533,0.171118
0.48519,0.438194,0.997565
0.350142,0.497176,0.117407
0.542193,0.346486,0.195438
0.140252,0.027781,0.353984
0.706242,0.301738,0.498726
0.157211,0.995216,0.375684
0.615577,0.864795,0.358067
0.38466,0.096056,0.646176
0.563954,0.176427,0.781356
0.739474,0.702131,0.132241
0.910592,0.703673,0.570435
0.42451,0.053815,0.583963
0.058269,0.11236,0.446802
0.253708,0.252613,0.474583
0.607692,0.958855,0.292674
0.106419,0.632418,0.28789
0.482103,0.247996,0.152685
0.356522,0.632656,0.765094
0.002698,0.712963,0.941521
0.784054,0.452437,0.160005
0.432648,0.36303,0.863678
0.003083,0.78754,0.433846
0.103399,0.845809,0.546206
0.066553,0.615869,0.315171
0.057488,0.739914,0.790378
0.350162,0.846333,0.422797
0.638052,0.844788,0.187145
0.30709,0.20131,0.336153
0.072184,0.720361,0.049116
0.013705,0.504415,0.501554
0.17371,0.937063,0.864584
0.553741,0.456499,0.168476
0.503939,0.07625,0.530637
0.566497,0.142803,0.146507
0.881669,0.716643,0.402773
0.672047,0.066806,0.249106
0.611196,0.704858,0.610246
0.798341,0.5283,0.327908
0.134495,0.600484,0.048269
0.699963,0.130542,0.069037
0.201517,0.820604,0.522452
0.582453,0.374345,0.495303
0.267281,0.394636,0.087905
0.797919,0.961134,0.74706
0.460778,0.842803,0.463704
0.863551,0.031202,0.53051
0.629009,0.158751,0.75172
0.755607,0.957092,0.280021
0.599867,0.607939,0.880505
0.164489,0.307903,0.527399
0.233526,0.025772,0.348004
0.27233,0.608226,0.238701
0.767634,0.391859,0.633338
0.371891,0.70613,0.594472
0.118952,0.166908,0.953627
0.582656,0.546811,0.501181
0.113166,0.692172,0.659932
0.381238,0.964131,0.133377
0.661259,0.563999,0.741316
0.058117,0.728488,0.565571
0.585516,0.478366,0.107696
0.449872,0.750696,0.232274
0.688574,0.034682,0.624133
0.838264,0.406574,0.330264
0.432736,0.525526,0.013524
0.902715,0.624534,0.076688
0.403896,0.7377,0.76886
0.580181,0.118938,0.249344
0.713558,0.29655,0.813343
0.971226,0.871019,0.058183
0.536798,0.456535,0.052901
0.644494,0.42276,0.803597
0.876768,0.111334,0.354632
0.017253,0.949598,0.277558
0.347517,0.898686,0.803084
0.361042,0.317753,0.427618
0.43773,0.238001,0.68167
0.722942,0.818182,0.31696
0.488638,0.048092,0.129862
0.301981,0.019319,0.000881
0.876516,0.072469,0.973769
0.929417,0.716963,0.396529
0.249367,0.110083,0.507863
0.120351,0.127336,0.973813
0.397909,0.991206,0.388851
0.717345,0.8686,0.222956
0.661315,0.822682,0.460957
0.342985,0.545624,0.795492
0.176297,0.550615,0.843584
0.30616,0.852596,0.862903
0.307041,0.245465,0.935372
0.28081,0.691234,0.168687
0.193691,0.456953,0.795122
0.217906,0.093656,0.922459
0.191719,0.491565,0.430017
0.096922,0.725262,0.298617
