3,10000
0.420125,0.729041,0.189281
0.612894,0.350165,0.172505
0.733308,0.951971,0.360282
0.708295,0.249922,0.140425
0.634481,0.134434,0.116482
0.873887,0.097931,0.743675
0.290935,0.345497,0.502773
0.840384,0.660841,0.102549
0.285063,0.35979,0.981424
0.294424,0.37196,0.459216
0.601081,0.792085,0.704609
0.790362,0.404979,0.054774
0.962868,0.654639,0.006746
0.839502,0.362935,0.256668
0.979927,0.513768,0.907454
0.096409,0.904008,0.005385
0.840085,0.194943,0.867234
0.85921,0.551679,0.044428
0.478112,0.836742,0.404218
0.459536,0.647518,0.29253
0.435104,0.248599,0.084615
0.139714,0.038962,0.005946
0.194488,0.518182,0.176937
0.717586,0.874036,0.539872
0.490606,0.370315,0.569993
0.398061,0.983076,0.474001
0.919798,0.339513,0.668944
0.787033,0.198724,0.736975
0.347813,0.676836,0.09007
0.268383,0.652724,0.25394
0.560913,0.60418,0.50254
0.645528,0.260246,0.057854
0.167826,0.971087,0.092388
0.344763,0.688673,0.966424
0.400988,0.17928,0.853091
0.970981,0.093693,0.836167
0.444982,0.013491,0.175681
0.630278,0.316876,0.890757
0.367253,0.664689,0.567593
0.973675,0.933072,0.736669
0.227616,0.493985,0.857201
0.246508,0.655865,0.117448
0.304362,0.340043,0.088535
0.913102,0.201159,0.29356
0.395878,0.602147,0.989192
0.248969,0.573128,0.082885
0.601488,0.534462,0.612729
0.777169,0.16474,0.929605
0.667926,0.048345,0.110647
0.751871,0.022021,0.560071
0.004892,0.249637,0.570409
0.862094,0.496145,0.742626
0.979542,0.316859,0.599022
0.584429,0.746313,0.800181
0.877989,0.142191,0.402328
0.867182,0.907512,0.491808
0.466419,0.509,0.02627
0.079148,0.802522,0.19101
0.525106,0.470448,0.755707
0.152105,0.22232,0.777728
0.712176,0.227212,0.543717
0.798937,0.605658,0.556214
0.541564,0.101552,0.389425
0.140586,0.685981,0.135738
0.457119,0.080323,0.794281
0.859447,0.463857,0.701793
0.867607,0.930276,0.727146
0.893877,0.009425,0.529668
0.601239,0.534531,0.516468
0.873298,0.202988,0.738788
0.651027,0.915164,0.482353
0.711096,0.714102,0.604363
0.267311,0.772018,0.705916
0.656736,0.428956,0.391897
0.308827,0.886075,0.988572
0.103108,0.261874,0.452429
0.321254,0.129481,0.382706
0.564752,0.53971,0.908483
0.610772,0.657301,0.959366
